canto_coding_id,region,division,subregion,area_kingdom,culture,language,people,PC1,PC2,lat,lng,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20,cv_21,cv_22,cv_23,cv_24,cv_25,cv_26,cv_27,cv_28,cv_29,cv_30,cv_31,cv_32,cv_33,cv_34,cv_35,cv_36,cv_37
3772,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,-1.9050600852612600,0.9992858091474620,18.75,81.78,0.38,0.15,0.46,0.54,0.31,0.77,0.77,1.0,0.54,0.54,0.85,0.38,0.46,0.38,0.69,0.38,0.77,0.62,0.08,1.0,1.0,0.08,0.77,0.69,0.77,0.69,1.0,0.38,1.0,0.54,1.0,0.31,0.77,0.54,0.54,0.31,0.54
3773,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,-1.5155332366874600,-2.6126717490242800,18.75,81.78,0.69,0.08,0.08,0.77,0.54,0.54,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.38,0.77,0.69,0.08,0.77,0.54,0.08,0.31,0.85,0.31,1.0,1.0,0.69,1.0,0.54,0.54,0.77,0.62,0.77,0.77,0.77,0.77
3774,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,-2.221905940258100,-2.0757028201642300,18.75,81.78,0.38,0.08,0.08,0.88,0.54,0.54,0.08,0.08,0.08,0.77,0.46,0.38,0.08,0.08,0.69,0.85,0.77,1.0,0.08,0.54,0.77,0.23,0.54,0.69,0.54,0.69,1.0,0.38,0.54,0.77,0.54,0.54,0.62,0.31,0.31,0.54,0.54
3775,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,-2.8497515609178900,-2.9581586111890100,18.75,81.78,0.46,0.08,0.08,0.54,0.77,0.54,0.08,0.08,0.08,0.77,0.85,0.23,0.08,0.08,0.69,0.38,0.88,0.62,0.31,0.31,1.0,0.08,0.77,0.69,0.77,1.0,1.0,0.38,0.54,0.77,1.0,0.42,0.77,1.0,1.0,0.54,0.54
3776,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,-2.818176007513630,0.7072143246097040,18.75,81.78,0.46,0.92,0.85,0.54,0.77,0.77,0.54,0.54,0.31,0.54,0.46,0.23,0.46,0.54,0.69,0.46,0.77,0.38,0.69,0.54,1.0,0.08,0.77,0.69,0.42,1.0,1.0,0.69,1.0,0.54,1.0,0.42,0.77,1.0,1.0,0.54,0.54
3777,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,-1.0438133582136000,-2.2033534598127000,18.75,81.78,0.81,0.08,0.08,1.0,0.77,0.77,0.08,0.08,0.08,0.31,1.0,0.31,0.08,0.08,0.69,0.77,0.19,0.62,0.08,0.77,0.31,0.23,1.0,0.08,0.77,0.08,1.0,0.38,1.0,0.31,0.54,0.42,0.77,0.77,0.54,0.42,0.77
3778,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,0.19274878697378400,-1.8429146751680900,22.05,78.93,0.81,0.08,0.08,1.0,0.77,0.77,0.08,0.08,0.08,0.31,1.0,0.31,0.08,0.08,0.69,0.23,0.42,0.62,0.31,1.0,0.31,0.23,0.31,0.23,0.77,0.08,1.0,0.69,0.08,0.31,0.54,0.31,0.77,1.0,1.0,0.77,0.54
3779,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,-0.7468677915021740,-2.4065911387553700,18.75,81.78,0.46,0.08,0.08,0.77,0.77,0.54,0.08,0.08,0.08,0.31,0.85,0.23,0.08,0.08,0.69,0.92,0.77,0.85,0.31,0.77,0.31,0.08,0.54,0.69,0.77,0.38,1.0,0.69,0.54,0.31,0.54,0.31,0.77,0.77,0.77,0.42,0.77
3780,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,-0.40410802513613400,-2.7478956182376400,18.75,81.78,0.38,0.08,0.08,0.54,0.54,0.31,0.08,0.08,0.08,0.31,0.46,0.23,0.08,0.08,0.69,0.92,0.54,1.0,0.08,0.54,0.54,0.08,0.54,0.69,0.54,0.69,1.0,0.38,0.54,0.31,1.0,0.77,0.62,0.54,0.54,0.77,0.77
3781,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,-0.9666439611186030,-2.0238121178014300,18.75,81.78,0.38,0.08,0.08,0.77,0.77,0.54,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.92,0.54,1.0,0.31,0.54,0.54,0.08,0.54,0.85,0.54,0.69,1.0,0.69,1.0,0.54,1.0,0.54,0.62,0.0,0.0,0.54,0.31
3782,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,-2.9681054906690100,-0.2324249552630610,18.75,81.78,0.92,0.62,0.15,0.88,0.77,0.77,0.31,0.08,0.08,0.54,1.0,0.31,0.85,0.69,0.69,0.92,0.42,0.85,0.31,0.54,0.31,0.23,0.77,0.85,0.77,1.0,1.0,0.38,0.54,0.54,1.0,0.54,0.77,0.77,0.77,0.77,0.77
3783,North,India,C India/ Central Tribal Area,Chhattisgarh,Dhurwa Gond,Dravidian,Tribal,0.8681638692888640,-3.816403806972190,18.75,81.78,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.77,0.85,0.08,0.08,0.08,0.69,0.77,0.54,1.0,0.31,0.31,0.31,0.08,0.77,0.38,0.31,0.38,1.0,0.69,0.54,0.77,1.0,0.54,0.62,0.54,0.77,0.77,0.77
3784,North,India,C India/ Central Tribal Area,Chhattisgarh,Dorla,Dravidian,Tribal,-1.486302009041700,-2.5610231338130400,24.61,80.48,0.38,0.08,0.08,0.77,0.77,0.54,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.92,0.54,0.85,0.31,0.54,0.54,0.08,0.77,0.85,0.54,0.69,1.0,0.38,0.54,0.54,1.0,0.54,0.62,0.54,0.54,0.54,0.54
3785,North,India,C India/ Central Tribal Area,Chhattisgarh,Dorla,Dravidian,Tribal,-1.3105343327088800,-2.4753681488133600,24.61,80.48,0.38,0.08,0.08,0.77,0.77,0.77,0.08,0.08,0.08,0.31,0.85,0.23,0.08,0.08,0.69,0.85,0.31,1.0,0.31,0.54,0.77,0.08,0.77,0.69,0.54,0.69,1.0,0.38,1.0,0.31,0.54,0.54,0.62,0.54,0.54,0.54,0.54
3786,North,India,C India/ Central Tribal Area,Chhattisgarh,Dorla,Dravidian,Tribal,0.09920821978659740,-2.0019640815180300,24.61,80.48,0.38,0.08,0.08,0.77,0.0,0.54,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.92,0.42,0.85,0.08,0.54,0.54,0.08,0.77,0.69,0.54,0.69,1.0,0.38,1.0,0.54,0.0,0.77,0.62,0.0,0.0,0.42,0.54
3787,North,India,C India/ Central Tribal Area,Chhattisgarh,Dorla,Dravidian,Tribal,-0.9591688485389220,-2.9033459737973300,24.61,80.48,0.46,0.08,0.08,0.54,0.0,0.54,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.92,0.54,1.0,0.08,0.31,0.54,0.08,0.77,0.69,0.54,1.0,1.0,0.69,0.54,0.54,1.0,0.54,0.62,0.54,0.54,0.77,0.54
3788,North,India,C India/ Central Tribal Area,Chhattisgarh,Dorla,Dravidian,Tribal,-1.7875968408813300,-2.9025138107996600,14.51,78.36,0.38,0.08,0.08,0.54,0.77,0.54,0.08,0.08,0.08,0.77,0.85,0.23,0.08,0.08,0.69,0.85,0.54,0.85,0.08,1.0,0.54,0.08,0.77,0.69,0.42,1.0,1.0,0.38,0.54,0.77,1.0,1.0,0.62,0.31,0.54,0.77,0.77
3789,North,India,C India/ Central Tribal Area,Chhattisgarh,Dorla,Dravidian,Tribal,-0.6274073998239380,-1.8753915959749600,14.51,78.36,0.77,0.08,0.08,0.54,0.31,0.54,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.38,0.77,0.38,0.08,0.54,0.54,0.08,0.77,0.85,0.54,1.0,1.0,0.69,0.54,0.54,0.54,0.77,0.46,0.31,0.31,0.77,0.77
3798,North,India,C India/ Central Tribal Area,Chhattisgarh,Dorla,Dravidian,Tribal,-0.77379076450253,-2.248840820560190,14.51,78.36,0.38,0.08,0.08,1.0,0.77,0.54,0.08,0.08,0.08,0.31,0.85,0.38,0.08,0.08,0.69,0.62,0.42,0.85,0.08,1.0,0.54,0.46,0.0,0.69,0.54,0.38,1.0,0.69,0.54,0.31,1.0,1.0,0.62,0.42,0.54,0.54,0.77
3799,North,India,C India/ Central Tribal Area,Chhattisgarh,Dorla,Dravidian,Tribal,-1.995818044892210,-2.6245785722994100,24.61,80.48,0.15,0.08,0.08,1.0,0.77,0.54,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.85,0.77,0.85,0.08,0.54,0.31,0.46,0.77,0.85,0.54,1.0,1.0,0.38,0.54,0.54,1.0,0.42,0.62,0.54,0.77,0.54,0.54
3800,North,India,C India/ Central Tribal Area,Chhattisgarh,Dorla,Dravidian,Tribal,0.705778432388513,-1.839604629727400,14.51,78.36,0.38,0.08,0.08,0.77,0.31,0.31,0.08,0.08,0.08,0.31,0.85,0.38,0.08,0.08,0.69,0.77,0.77,0.85,0.31,0.77,0.54,0.08,0.54,0.69,0.54,0.38,1.0,0.38,0.54,0.31,1.0,0.54,0.0,0.31,0.31,0.54,0.77
3801,North,India,C India/ Central Tribal Area,Chhattisgarh,Dorla,Dravidian,Tribal,-1.8144250042711900,-2.697470707824370,24.61,80.48,0.46,0.08,0.08,1.0,0.31,0.31,0.08,0.08,0.08,0.54,0.85,0.38,0.08,0.08,0.69,0.92,0.54,0.23,0.69,0.31,0.54,0.46,0.77,0.85,0.77,0.69,1.0,0.38,1.0,0.54,1.0,0.31,0.62,0.54,0.77,0.77,0.77
3885,North,India,C India/ Central Tribal Area,Chhattisgarh,Muria Gond,Dravidian,Tribal,-1.6222102545300000,-3.9027970446570800,19.1,81.95,0.46,0.08,0.08,0.54,0.77,0.54,0.08,0.08,0.08,0.77,0.85,0.23,0.08,0.08,0.69,0.92,0.31,1.0,0.69,0.54,0.77,0.08,0.77,0.38,0.08,0.38,1.0,0.38,0.54,0.77,1.0,0.54,0.62,0.77,0.77,1.0,1.0
3886,North,India,C India/ Central Tribal Area,Chhattisgarh,Muria Gond,Dravidian,Tribal,-4.199662141095240,1.790353726319010,19.1,81.95,0.5,0.69,0.5,1.0,0.77,0.77,0.88,0.77,1.0,0.77,0.85,0.23,0.46,0.69,0.69,0.69,0.77,0.85,0.08,0.54,0.77,0.46,0.54,0.85,0.77,0.69,0.38,0.38,1.0,0.77,1.0,0.77,0.62,0.77,0.54,0.31,0.77
411,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,-1.6952680865222100,-2.628000923551670,21.14,79.08,0.62,0.08,0.08,0.54,0.54,0.77,0.08,0.08,0.08,0.08,0.46,0.23,0.08,0.08,0.69,0.92,0.77,0.62,0.31,0.54,0.77,0.08,1.0,0.69,0.54,1.0,1.0,0.69,1.0,0.08,1.0,0.42,0.81,0.77,0.31,0.54,0.54
844,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,-2.7094025330326500,1.3082976065182100,21.14,79.08,0.69,0.23,0.46,0.54,0.54,0.77,0.54,0.54,1.0,0.54,0.85,0.23,0.46,0.54,0.08,0.92,0.54,1.0,0.08,0.31,0.77,0.08,1.0,0.69,0.77,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.35,0.42,0.42,0.54,0.31
846,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,-3.0385845832082500,1.3183582474519200,21.14,79.08,0.46,0.23,0.46,0.54,0.77,0.77,0.54,0.54,1.0,0.54,0.46,0.23,0.46,0.54,0.69,0.92,0.54,1.0,0.08,0.31,0.77,0.08,0.77,0.69,0.77,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.35,0.54,0.42,0.54,0.31
847,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,-2.2987401299709500,1.4243979248347500,21.14,79.08,0.69,0.23,0.46,0.54,0.77,0.77,0.54,0.54,0.77,0.54,0.46,0.23,0.46,0.54,0.69,0.46,0.54,0.69,0.31,0.31,0.54,0.08,1.0,0.69,0.54,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.35,0.42,0.42,0.54,0.31
848,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,-2.5783799308403700,0.9525367307239580,21.14,79.08,0.69,0.23,0.38,0.54,0.77,0.77,0.54,0.54,1.0,0.54,0.85,0.23,0.35,0.54,0.69,0.85,0.31,0.85,0.08,0.31,0.54,0.08,0.77,0.69,0.54,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.46,0.54,0.54,0.54,0.31
849,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,-2.7098172985433500,2.3281388157066000,21.14,79.08,0.69,0.23,0.38,0.54,0.77,0.77,1.0,0.54,1.0,0.54,0.46,0.23,0.35,0.85,0.69,0.92,0.54,0.85,0.08,0.54,0.54,0.08,0.77,0.77,0.77,1.0,1.0,1.0,0.54,0.54,1.0,0.54,0.35,0.42,0.54,0.54,0.31
850,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,-1.7521914747478300,2.648197209590170,21.14,79.08,0.69,0.23,0.46,0.54,0.77,0.77,1.0,0.54,1.0,0.54,0.85,0.23,0.35,0.85,0.69,0.23,0.54,0.62,0.08,0.54,0.54,0.08,0.54,0.69,0.77,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.35,0.42,0.42,0.54,0.31
851,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,-1.8764895579166900,2.574366770126220,21.14,79.08,0.69,0.23,0.46,0.54,0.77,0.77,1.0,0.54,1.0,0.54,0.85,0.23,0.35,0.85,0.69,0.38,0.54,0.62,0.08,0.54,0.54,0.08,0.54,0.69,0.77,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.35,0.42,0.42,0.54,0.31
852,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,-1.6895410513802,2.83376684955716,21.14,79.08,0.69,0.23,0.69,0.54,0.54,0.77,1.0,0.77,1.0,0.54,0.85,0.23,0.35,0.85,0.69,0.69,0.31,0.08,0.31,0.31,0.54,0.08,0.77,0.69,0.54,1.0,1.0,1.0,1.0,0.54,1.0,0.54,0.35,0.42,0.42,0.54,0.31
3797,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,-1.513808191908100,-2.217223582306910,22.97,78.65,0.46,0.08,0.08,0.54,0.77,0.77,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.92,0.54,1.0,0.08,0.31,0.54,0.08,0.0,0.69,0.77,0.69,1.0,0.69,0.54,0.54,1.0,0.54,0.62,0.77,0.77,0.54,0.54
3853,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,-2.3284339881637300,1.658070474335590,22.34,78.66,0.46,0.15,0.38,0.54,0.54,0.54,1.0,0.77,0.77,0.54,0.46,0.23,0.46,0.69,0.69,0.92,0.77,0.85,0.31,0.54,0.54,0.08,0.77,0.85,0.77,1.0,1.0,0.69,0.54,0.54,1.0,0.42,0.46,0.54,0.42,0.54,0.77
3854,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,-4.207740267436980,1.4205903913488500,22.59,80.37,0.46,0.15,0.38,0.88,0.54,0.77,1.0,0.54,0.77,0.77,0.46,0.38,0.46,0.69,0.69,0.85,0.54,0.85,0.19,0.54,0.54,0.62,0.54,0.77,0.77,1.0,1.0,0.69,1.0,0.77,1.0,0.54,0.62,0.54,0.31,0.54,0.77
9842,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,-1.4793797303465300,-1.9530225897319000,19.2,81.93,0.69,0.08,0.08,1.0,0.54,0.31,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.62,0.42,0.85,0.0,0.77,0.77,0.23,1.0,0.69,0.77,0.69,0.08,0.38,0.54,0.54,1.0,0.54,0.35,0.54,0.31,0.54,0.54
9843,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,1.3262055312988100,-2.8702080933256800,19.2,81.93,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.54,0.85,0.08,0.08,0.08,0.69,0.77,0.42,0.73,0.69,0.77,0.77,0.08,0.77,0.69,0.77,0.69,0.08,0.38,0.54,0.54,0.54,0.31,1.0,0.31,0.31,0.54,0.54
9844,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,-3.6955704072635400,2.7154847602809200,19.2,81.93,0.46,0.69,1.0,0.54,0.77,0.77,1.0,0.54,0.77,0.77,0.46,0.23,0.35,0.85,0.69,0.92,0.42,0.85,0.31,0.54,0.77,0.08,1.0,0.69,0.77,1.0,0.69,0.69,0.54,0.77,1.0,0.54,0.46,0.54,0.54,0.31,0.77
9845,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,-1.5055108735003300,-2.086581872395200,19.2,81.93,0.69,0.08,0.08,0.54,0.54,0.77,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.85,0.88,0.62,0.08,0.54,0.54,0.08,0.77,0.69,0.54,1.0,0.08,0.69,0.54,0.54,1.0,0.54,0.35,0.54,0.54,0.54,0.54
9846,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,-1.7391974188896100,0.6561543822933470,19.2,81.93,0.92,0.23,0.46,0.54,0.77,0.77,0.08,0.77,0.54,0.77,0.46,0.23,0.23,0.23,0.69,0.92,0.54,1.0,0.08,0.77,0.0,0.0,0.77,0.0,0.54,1.0,1.0,0.38,0.08,0.77,0.0,0.31,0.62,0.54,0.77,0.54,1.0
9847,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,-1.8273520866703500,-1.6831945052556600,19.2,81.93,0.38,0.08,0.08,0.54,0.54,0.77,0.08,0.08,0.08,0.77,0.46,0.23,0.08,0.08,0.69,0.92,0.77,0.85,0.31,0.77,0.54,0.08,1.0,0.85,0.54,1.0,0.08,0.38,0.54,0.77,0.0,0.31,0.46,0.54,0.54,0.31,0.54
9848,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,-2.5308666626318600,3.5594719041396000,19.2,81.93,0.38,0.85,1.0,0.54,0.54,0.77,1.0,1.0,0.54,0.77,0.46,0.23,0.46,1.0,0.0,0.46,0.88,0.38,0.31,0.77,0.77,0.08,1.0,0.85,0.54,1.0,0.38,0.69,1.0,0.77,0.54,0.42,0.46,0.54,0.54,0.54,0.77
9849,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,-3.1086464434141400,-3.312005260080390,19.2,81.93,0.35,0.08,0.08,0.88,0.77,0.54,0.08,0.08,0.08,0.77,0.69,0.23,0.08,0.08,0.69,0.46,1.0,0.62,0.69,0.54,0.77,0.46,1.0,0.85,0.31,1.0,0.08,1.0,0.54,0.77,1.0,0.77,0.62,0.54,0.54,0.77,0.77
9850,North,India,C India/ Central Tribal Area,Maharashtra,Gond,Dravidian,Tribal,-2.897030436721650,-2.0448767985235000,19.2,81.93,0.73,0.08,0.08,0.54,0.77,0.77,0.08,0.08,0.08,0.77,0.46,0.23,0.08,0.08,0.69,0.85,0.88,0.85,0.0,0.54,0.54,0.08,1.0,0.85,0.54,0.69,0.08,1.0,0.54,0.77,1.0,0.54,0.35,0.31,0.54,0.54,0.77
756,North,India,C India/ Central Tribal Area,Malwa,C Indian Folk,Indo-European,Non-Tribal,2.4190127672863100,2.7864337961217600,22.97,78.65,0.46,0.38,0.46,0.54,0.31,0.54,0.77,0.31,0.54,0.08,0.69,0.23,0.69,0.69,0.08,0.15,0.77,0.08,0.85,0.54,0.31,0.08,0.08,0.85,0.54,1.0,1.0,0.38,1.0,0.08,1.0,0.31,0.08,0.08,0.54,0.54,0.77
3802,North,India,C India/ Central Tribal Area,Malwa,Korku,Austroasiatic,Non-Tribal,-2.417700356978600,-2.185865806851390,21.77,78.17,0.46,0.15,0.15,1.0,0.54,0.77,0.31,0.08,0.08,0.54,0.85,0.38,0.46,0.08,0.69,0.85,0.54,0.85,0.69,0.54,0.77,0.46,0.77,0.69,0.31,0.69,1.0,0.69,1.0,0.54,1.0,0.77,0.46,0.31,0.31,0.77,0.77
3803,North,India,C India/ Central Tribal Area,Malwa,Korku,Austroasiatic,Non-Tribal,-2.5909006211061600,2.09564843504175,21.77,78.17,0.46,0.15,0.38,0.77,0.77,0.77,1.0,0.77,0.77,0.54,0.85,0.38,0.46,0.85,0.69,0.92,0.77,0.85,0.31,0.54,0.54,0.08,0.31,0.85,0.77,1.0,1.0,0.69,1.0,0.54,1.0,0.77,0.46,0.31,0.31,0.54,0.31
3804,North,India,C India/ Central Tribal Area,Malwa,Korku,Austroasiatic,Non-Tribal,-2.7859882948304600,2.1621847454165500,21.77,78.17,0.81,0.15,0.38,0.77,0.54,0.54,1.0,0.77,0.77,0.77,0.85,0.31,0.46,0.85,0.69,0.92,0.54,1.0,0.31,0.54,0.31,0.08,0.54,0.85,0.77,1.0,1.0,0.38,1.0,0.77,1.0,0.54,0.46,0.42,0.42,0.54,0.42
3805,North,India,C India/ Central Tribal Area,Malwa,Korku,Austroasiatic,Non-Tribal,0.9052585472886390,-3.486601017504220,21.77,78.17,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.54,0.85,0.08,0.08,0.08,0.69,0.85,0.77,0.85,0.08,0.54,0.31,0.08,0.54,0.77,0.31,0.69,1.0,0.69,1.0,0.54,1.0,0.54,0.62,0.42,0.54,0.77,0.77
3806,North,India,C India/ Central Tribal Area,Malwa,Korku,Austroasiatic,Non-Tribal,0.2933216531447320,-3.6960481393519900,21.77,78.17,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.54,0.85,0.08,0.08,0.08,0.69,0.85,0.54,1.0,0.69,0.31,0.54,0.08,0.77,0.85,0.31,0.69,1.0,0.69,1.0,0.54,1.0,0.54,0.62,0.54,0.54,0.54,0.77
