,Archival_source#,Area/Kingdom,Audio_file,Audio_notes,canto_coding_id,C_cid,Classification_notes,Culture,Culture_loc,Division,Duration,Genre,Instruments,Living_metadata,Local_lat,Local_long,Lyrics,Metadata_notes,People,Performers,Publcation_collection,Publisher,Recorded_by,Region,Repository,Song,Song_notes,Source Tag,Sources,Subregion,Year
4694,T1790.3,Andhra Pradesh/ Madhya Pradesh/ Maharashtra/ Telangana,T5416R30,,3851,11617.0,,Banjara,"Marathwada Area, India",India,0:03:13,Harvest Song; Praise Song,Male Voices,,19.89,75.3,,,Banjara,"Rupha Saila Rathod, others","All India Radio, External Programme Exchange Unit",All India Radio,All India Radio,South Asia,"Sound and Central Archives of All India Radio, New Delhi; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress","Sewa Bhaya, Sewa Bhaya Seva Kare Re",A harvest song in praise of Sewa Bhaya,@AIR1948-50SewaBhayaSewaBhayaSevaKareRe,,C India/ Central Tribal Area,1948-1950
4719,T1786.B8,Chhattisgarh/ Madhya Pradesh/ Maharashtra/ Telangana,T5419R21m,"Poor audio, hum",3844,18778.0,,Kolam,"Waghapur, Andhra Pradesh, India",India,0:02:38,,2 Male Voices; Drum; Rattle,,15.91,79.74,,,Kolami,"Male duet, drum, rattle","Anthropological Survey of India, Indian Museum, Government of India, Calcutta, Kolam #3",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Warrenga,,@ANSI1953Warrenga,,C India/ Central Tribal Area,1953
4720,T1786.B7,Chhattisgarh/ Madhya Pradesh/ Maharashtra/ Telangana,T5419R20m,"Poor audio, hum",3845,18778.0,,Kolam,"Waghapur, Andhra Pradesh, India",India,0:02:43,,Male Voices,,15.91,79.74,,,Kolami,Male chorus,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Kolam #2",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Nare Na,Sung by men folk on summer nights,@ANSI1953NareNa,,C India/ Central Tribal Area,1953
4721,T1786.B6,Chhattisgarh/ Madhya Pradesh/ Maharashtra/ Telangana,T5419R19m,"Poor audio, hum",3846,18778.0,,Kolam,"Waghapur, Andhra Pradesh, India",India,0:01:45,Devotional Song,Male Voice; Male Voices; Sticks; Drum; Ektar,,15.91,79.74,,,Kolami,"Male leader, male chorus, sticks, drum, ektar","Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Kolam #1",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Devotional Song,,@ANSI1953DevotionalSong_1,,C India/ Central Tribal Area,1953
4743,T1782.1,Maharashtra/ Telangana,T5417R40,,3762,10594.0,,Andh,"Korat, Central India",India,0:05:42,Lullaby,3 Girls' Voices,,31.73,75.94,,,Marathic Peoples,Trio of young girls,"Anthropological Survey of India, Indian Museum, Government of India, Calcutta, Andh #1; Indian Museum, Kolkata",Previously Unpublished,"Department of Anthropology, Government of India",South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Cradle Song,"Cradle song, trio of young girls sing in unison, with occasional harmony",@ANSI1953CradleSong_1,,C India/ Central Tribal Area,1953
4755,2C24.B16,N E Sri Lanka/ Tamil Nadu,T5589R09,Old audio file # T5484R05,972,30099.0,,Tamil People,"Chennai, India",India,0:02:00,Drama; Spirit Song; Fisherman's Song,Male Voices; Mridanga (Drum); Time-Keeping Cymbals; Sruti Peti (Hand-Pumped Reed Drone),,13.08,80.27,,,Tamil,"Kapali, Pushparaja, Ghandi, Thangaraja, with Chinnaraja on mridanga (drum), tala (time-keeping cymbals), struti peti (hand-pumped reed drone)",Columbia World Library of Folk and Primitive Music: India. Columbia Records KL215,Columbia Records,Alain Daniélou,South Asia,"Fondación Inde-Europe de Nouveaux Dialogues; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Tamil Drama,"Invocation to Minashki, the Fish-Eyed Goddess, dramatic performance by an ensemble of fishermen ",@CFPM1955India,Compiled and edited by Alain Daniélou; Liner notes by Jean-Jacques Nattiez,Dravidian Deccan,1952
4756,2C24.B17,N E Sri Lanka/ Tamil Nadu,T5484R06,,973,30099.0,,Tamil People,"Chennai, India",India,0:01:14,Drama; Spirit Song; Fisherman's Song,Male Voices; Drums; Bell,,13.08,80.27,,,Tamil,"Mandras fishermen, drums, bell",Columbia World Library of Folk and Primitive Music: India. Columbia Records KL215,Columbia Records,Alain Daniélou,South Asia,"Fondación Inde-Europe de Nouveaux Dialogues; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress","Challenge by the Demon Naraka To The King Of Heaven, Devendra",Dramatic performance by an ensemble of Madras fisherman,@CFPM1955India,Compiled and edited by Alain Daniélou; New liner notes by Amy Catlin and Nazir Jairazbhoy,Dravidian Deccan,1952
4757,2C24.B15; CHB5B1.30,N E Sri Lanka/ Tamil Nadu,T5589R08,Old audio file # T9527R73,9457,30099.0,,Tamil People,"Chennai, India",India,0:03:37,Dance Song; Theater Song,Orchestra,"KATHAKA≈LI, part 2, with the singer N. Paramasiva. 
The language is Malayalam.

Kathaka¬i is a classical form of sacred dance drama sung in Malayalam, the Tamil-derived vernacular language of Kerala State in southwestern India. Kathaka≥i is rooted in the temple genre of Kerala known as K¨†iyå††am, India’s only surviving traditional Sanskrit theater form, whose history goes back over 1500 years. In reaction to disturbances caused by the Portuguese occupation of the Kerala coast, a bhakti (Hindu devotional) movement arose in sixteenth century Kerala. This in turn gave rise to the creation of vernacular literary texts, including several plays written in south Kerala in the late sixteenth century based on religious stories from the Råmåyaˆa epic. This form, known as Råmanå††am (“Råma drama”), gradually evolved and was renamed Kathaka¬i (“story play”) in the 18th century, when new plays were written and performed based on the Mahåbhårata epic. The author of these plays was a prince of north Kerala who greatly expanded the depth of expression (bhåva) and characterization, developed the use of numerous rågas and tålas for their emotional impact, and enhanced the costuming, makeup and staging. Today’s highly sophisticated and virtuosic Kathaka¬i is performed by male musicians and actors whose lives are dedicated to perfecting their art.

This extract presents the mythological king DakΩa, the embodiment of creative power, competence, and intelligence born of Brahma himself. He is said to have had a vast number of daughters, including Sati, who eventually committed suicide because of a disagreement between her father and her husband, Íiva. In this kathaka¬i play, the playwright offers a psychological explanation for the family tensions that led to Sati’s suicide by fire; her father’s contempt and derision because of her devotion to Lord Íiva.

In this extract, the four percussionists first play a prelude in six beats, which serves as entrance music for the actor. The lead singer then sings DakΩa’s lines, accusing Sati of sin and impurity, and expelling her from his sacrificial hall. His lines are aggressively set to the bold contours of a pentatonic råga called Såra∫ga, which does not resemble the Såra∫ga of either North or South Indian classical music but uses the following five notes and is similar to the South Indian råga Mohanam:
                        
C   D   E   G   A   c

 This is performed in a medium-tempo seven beat cycle called Tripu†a:
Claps:                     X              O
                1    2    3    4    5    6    7
Drum syllables:     ta   ki   †a   ta   ka   di   mi

The actor meanwhile mimes the text. The first line is repeated to allow the actor to execute variations in his facial expressions and gestures. The percussionists then play an interlude for the actor to execute additional movements. Then two half-lines are sung, after each of which one or two accompanying voice(s) join in repetitions, concluding with the repetition of the opening line. The percussionists intervene with a second interlude, until the voice for the female character Sati mournfully emerges, accompanied in muted strokes in a slow seven-beat cycle. She warns her father that his opposition to Lord Shiva, to whom she is devoted, will bring on his wrath. Sati’s pathetic plea is aptly set to Punnagavarå¬¥ råga with its languorous ornaments and minor intervals:

                        C    Db    Eb    F    G    Ab    Bb    c

The third degree (E) is, however, extremely low and actually sounds only a half step above the lowered second degree, as in some South Indian classical rågas. Each line is repeated except the final fourth line, which is interrupted by a percussion interlude heralding DakΩa’s furious response in rapid seven-beat cycles of Muri a†aˆ†a tå¬a (similar to Tripu†a tåla, but faster), set to Kedåragau¬a råga with its pentatonic ascent and heptatonic descent:

        C    D    F    G    Bb    c              c    Bb    A    G    F    E    D    C

After he repeats two lines threatening to call his slaves to oust Sati, the percussionists accelerate the tempo for his climactic dance of rage.",13.08,80.27,,,Tamil,Orchestra of the dancer Gopinath,Columbia World Library of Folk and Primitive Music: India. Columbia Records KL215,Columbia Records,Alain Daniélou,South Asia,"Fondación Inde-Europe de Nouveaux Dialogues; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress","Kathakali, Part Two","Kathakali dance rhythms, a celebrated form of traditional popular theatre with an elaborate technique of dance and mime",@CFPM1955India,Compiled and edited by Alain Daniélou; New liner notes by Amy Catlin and Nazir Jairazbhoy,Dravidian Deccan,1952
4758,"2C17.A1,A2",Tamil Nadu,T5417R03,,748,24540.0,,Madras,"Chennai, India",India,0:06:38,Morning Song,Male Voice; Violin,,13.08,80.27,,,Tamil,"Turaiyur M. Rajagopala Sarma, singer, veen, khol, violin","Music of India: Traditional and Classical. Ethnic Folkways Library FE4422, 1951",Smithsonian Folkways,All India Radio,South Asia,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Unnaippol,"A morning song; title translates to ""I Like You."" ",@FW1951MusicOfIndiaTraditionalClassical,part 1: http://www.folkways.si.edu/TrackDetails.aspx?itemid=7076; part 2: http://www.folkways.si.edu/TrackDetails.aspx?itemid=11701,Dravidian Deccan,1948-1950
4759,2C18.A3,Tamil Nadu,T5483R35,,759,24540.0,,Madras,"Chennai, India",India,0:02:47,,Male Voices; Male Voices; Violinist; Vani; Flute; Mirdam; Drum Cymbals,,13.08,80.27,,,Tamil,"Male leaders, male chorus, violinist, vani, flute, mirdam, drum cymbals","Folk Music of India. Ethnic Folkways Library FE4409, 1950",Smithsonian Folkways,All India Radio,South Asia,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Tamil Folk Song,Sung by male soloists with male chorus over an instrument ensemble,@FW1950FolkMusicOfIndia,Compiled by Harold Courlander.; http://www.folkways.si.edu/TrackDetails.aspx?itemid=11639,Dravidian Deccan,1948-1950
4760,2C18.B4,Tamil Nadu,T5483R37,,760,24540.0,,Madras,"Chennai, India",India,0:01:48,Work Song; Boat Song; Rowing Song; Hauling Song; Agricultural Song,Flute; Violin; Mirdam; Drum,,13.08,80.27,,,Tamil,"Instrumental: flute, violin, mirdam, drum","Folk Music of India. Ethnic Folkways Library FE4409, 1950",Smithsonian Folkways,All India Radio,South Asia,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Folk Song,"A work song popular among laborers working in the tea gardens, rowing boats, or other heavy work.",@FW1950FolkMusicOfIndia,Compiled by Harold Courlander; http://www.folkways.si.edu/TrackDetails.aspx?itemid=11645,Dravidian Deccan,1948-1950
4761,2C24.B13; WFS2B.14,Tamil Nadu,T5589R07,Old audio file # T5484R04,974,24540.0,,Madras,"Chennai, India",India,0:03:11,Devotional Song; Saint's Song; Begging Song; Raga,Male Voices; String Tambura; Sruti Peti (Hand-Pumped Reed Drone),,13.08,80.27,,,Tamil,"T.M. Krishnaswamy Iyer, P.R. Balasubramanyam, string tambura, sruti peti (hand-pumped reed drone)",Columbia World Library of Folk and Primitive Music: India. Columbia Records KL215,Columbia Records,Alain Daniélou,South Asia,"Fondación Inde-Europe de Nouveaux Dialogues; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Alwar Song,"Song of the Alwar Saints, ancient Tamil devotional song sung in the raga Kambodi, more commonly known as Kambhoji today, composed by one of the 12 Alwar saints, the Alwars were Vaishnava wandering mendicants of Tamilnada. Ragas are traditional classical Indian musical modes used for improvisation. Raga means color in Sanskrit and each raga has a unique sound, like the hues of a color, that expresses emotions and moods. The sound of each raga is associated with certain emotions, times of day, Hindu deities, and seasons. Ragas are thought to possess magical powers like bringing rain or causing fires.",@CFPM1955India,Compiled and edited by Alain Daniélou; New liner notes by Amy Catlin and Nazir Jairazbhoy,Dravidian Deccan,1952
4762,2C17.A3; WFS8.9,Tamil Nadu,T5528R09,,8004,24540.0,,Madras,"Chennai, India",India,0:01:14,,Female Voice,,13.08,80.27,,,Tamil,Kumari Shyamala,"Music of India: Traditional and Classical. Ethnic Folkways Library FE4422, 1951",Smithsonian Folkways,All India Radio,South Asia,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Sangeeta Gnamamu,"Folk song from the province of Mandras, Southern India",@FW1951MusicOfIndiaTraditionalClassical,http://www.folkways.si.edu/TrackDetails.aspx?itemid=11702,Dravidian Deccan,1948-1950
4763,2C18.B5,Andhra Pradesh,T5483R38,,758,17183.0,,Andhra Pradesh,"Andhra Pradesh, India",India,0:00:56,Work Song; Boat Song; Rowing Song; Hauling Song; Agricultural Song,Flute; Mirdam; Tappu,,15.91,79.74,,,Telugu,"Flute, mirdam, tappu","Folk Music of India. Ethnic Folkways Library FE4409, 1950",Smithsonian Folkways,All India Radio,South Asia,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",South Indian Folk Song,"Strophic song popular among laborers working in the tea gardens, rowing boats or doing any heavy duty work. Ragas are traditional classical Indian musical modes used for improvisation. Raga means color in Sanskrit and each raga has a unique sound, like the hues of a color, that expresses emotions and moods. The sound of each raga is associated with certain emotions, times of day, Hindu deities, and seasons. Ragas are thought to possess magical powers like bringing rain or causing fires.",@FW1950FolkMusicOfIndia,Compiled by Harold Courlander; http://www.folkways.si.edu/TrackDetails.aspx?itemid=11646,E C India/ E Central Tribal Area,1948-1950
4764,2C17.A4,Andhra Pradesh,T5417R02,,3752,17183.0,,Andhra Pradesh,"Andhra Pradesh, India",India,0:03:22,Evening Song; KarnāṭAka SaṃGīta,Male Voice; Vina; Khol; Violin,,15.91,79.74,,,Telugu,"D. K. Pattamal, singer, vina, khol, violin","Music of India: Traditional and Classical. Ethnic Folkways Library FE4422, 1951",Smithsonian Folkways,All India Radio,South Asia,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Theruva Theppo,"Evening piece accompanied by vina, khol, and violin. Ragas are traditional classical Indian musical modes used for improvisation. Raga means ""color"" in Sanskrit, and each raga has a unique sound, like the hues of a color, that expresses emotions and moods. The sound of each raga is associated with certain emotions, times of day, Hindu deities, and seasons. Ragas are thought to possess magical powers like bringing rain or causing fires.",@FW1951MusicOfIndiaTraditionalClassical,Can also be found digitally on CN1.14.; http://www.folkways.si.edu/TrackDetails.aspx?itemid=11703,E C India/ E Central Tribal Area,1948-1950
4765,2C15.A1,Andhra Pradesh,T5417R01,,3753,17183.0,,Andhra Pradesh,"Hyderabad, Deccan, India",India,0:03:03,Bhajan; Religious Song; Devotional Song; Raga; KarnāṭAka SaṃGīta,Male Voice,,17.39,78.46,,,Telugu,Swami D. R. Parvatikar,"Religious Music of India. Ethnic Folkways Library P431, 1952",Smithsonian Folkways,Alain Daniélou,South Asia,"Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. http://www.folklife.si.edu/archive; Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Bhajana; I Am Thy Servant,"Raga Kalingada, religious song, song of devotional love, important in religious and musical life of India.  Ragas are traditional classical Indian musical modes used for improvisation. Raga means color in Sanskrit and each raga has a unique sound, like the hues of a color, that expresses emotions and moods. The sound of each raga is associated with certain emotions, times of day, Hindu deities, and seasons. Ragas are thought to possess magical powers like bringing rain or causing fires.",@FW1952ReligiousMusicOfIndia,Notes include partial transcription; http://www.folkways.si.edu/TrackDetails.aspx?itemid=7082,E C India/ E Central Tribal Area,1952
4766,T1787.A2,Andhra Pradesh,T5417R37,,3814,19031.0,,Koya,"Chekkapalli, Andhra Pradesh, India",India,0:03:13,Wedding Song,Male Voices,,16.87,80.92,,,Gond,Male unison chorus,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Koya",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Idu Vina Karman,"Wedding song, sung by men at time of marriage ",@ANSI1953IduVinaKarman,,E C India/ E Central Tribal Area,1953
4767,T1787.A1C,Andhra Pradesh,T5417R36,,3815,19031.0,,Koya,"Chekkapalli, Andhra Pradesh, India",India,0:00:22,Wedding Song,Female Voices,,16.87,80.92,,,Gond,Female chorus,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Koya",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Oh Nevatodo 1,"Wedding song, sung by unmarried girls at time of marriage ",@ANSI1953OhNevatodo1,,E C India/ E Central Tribal Area,1953
4768,T1787.A1B,Andhra Pradesh,T5417R35,,3816,19031.0,,Koya,"Chekkapalli, Andhra Pradesh, India",India,0:00:48,Wedding Song,Female Voices,,16.87,80.92,,,Gond,Female chorus,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Koya",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Oh Nevatodo 2,"Wedding song, sung by unmarried girls at time of marriage ",@ANSI1953OhNevatodo2,,E C India/ E Central Tribal Area,1953
4769,T1787.A1A,Andhra Pradesh,T5417R34,,3817,19031.0,,Koya,"Chekkapalli, Andhra Pradesh, India",India,0:00:44,Wedding Song,Female Voices,,16.87,80.92,,,Gond,Female chorus,"Anthropological Survey of India, Indian Museum, Kolkata; Government of India, Calcutta, Koya",Previously Unpublished,Dept. of Anthropology Government of India,South Asia,"Copy in Alan Lomax Collection, American Folklife Center, Library of Congress",Oh Nevatodo 3,"Wedding song, sung by unmarried girls at time of marriage ",@ANSI1953OhNevatodo3,,E C India/ E Central Tribal Area,1953
